<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	23:05:00	2064.593	2064.659	2063.301	2063.904	5	0	1236
2024.01.01	23:10:00	2063.911	2066.092	2063.830	2065.142	5	0	1124
2024.01.01	23:15:00	2065.159	2065.900	2064.443	2065.072	5	0	377
2024.01.01	23:20:00	2065.100	2065.343	2064.695	2065.098	5	0	1119
2024.01.01	23:25:00	2065.114	2065.497	2064.558	2064.698	5	0	1116
2024.01.01	23:30:00	2064.664	2064.982	2063.634	2063.906	5	0	1116
2024.01.01	23:35:00	2063.904	2065.131	2063.904	2064.784	5	0	1118
2024.01.01	23:40:00	2064.787	2064.990	2064.014	2064.258	5	0	1113
2024.01.01	23:45:00	2064.259	2064.259	2062.643	2063.177	5	0	1111
2024.01.01	23:50:00	2063.067	2063.845	2063.067	2063.478	5	0	1112
2024.01.01	23:55:00	2063.465	2063.746	2063.176	2063.543	4	0	1111
2024.01.02	00:00:00	2063.347	2064.498	2063.331	2064.498	5	0	372
2024.01.02	00:05:00	2064.496	2064.767	2064.048	2064.605	5	0	371
2024.01.02	00:10:00	2064.538	2064.932	2063.780	2064.006	5	0	372
2024.01.02	00:15:00	2064.015	2064.393	2063.320	2063.619	5	0	370
2024.01.02	00:20:00	2063.601	2063.676	2062.925	2063.104	5	0	369
2024.01.02	00:25:00	2063.015	2063.368	2062.175	2063.323	5	0	368
2024.01.02	00:30:00	2063.323	2063.810	2062.831	2063.797	5	0	370
2024.01.02	00:35:00	2063.791	2063.863	2063.251	2063.705	5	0	369
2024.01.02	00:40:00	2063.650	2064.559	2063.490	2064.559	5	0	369
2024.01.02	00:45:00	2064.588	2065.576	2064.322	2065.184	5	0	368
2024.01.02	00:50:00	2065.181	2065.682	2064.856	2065.593	5	0	369
2024.01.02	00:55:00	2065.595	2065.762	2064.722	2065.340	5	0	370
2024.01.02	01:00:00	2065.341	2067.269	2064.870	2066.968	5	0	200
2024.01.02	01:05:00	2066.936	2069.627	2066.839	2067.497	5	0	200
2024.01.02	01:10:00	2067.467	2069.468	2067.354	2069.206	5	0	200
2024.01.02	01:15:00	2069.248	2069.900	2067.712	2068.280	5	0	199
2024.01.02	01:20:00	2068.283	2068.776	2067.144	2068.424	5	0	200
2024.01.02	01:25:00	2068.427	2068.861	2068.022	2068.403	5	0	372
2024.01.02	01:30:00	2068.308	2068.421	2066.979	2067.525	5	0	369
2024.01.02	01:35:00	2067.501	2068.462	2066.869	2067.925	5	0	369
2024.01.02	01:40:00	2067.917	2068.391	2067.700	2068.094	5	0	369
2024.01.02	01:45:00	2068.081	2068.951	2067.288	2067.544	5	0	370
2024.01.02	01:50:00	2067.555	2067.690	2066.710	2067.050	5	0	370
2024.01.02	01:55:00	2067.059	2067.291	2066.290	2066.536	5	0	369
2024.01.02	02:00:00	2066.512	2066.749	2064.956	2065.648	5	0	369
2024.01.02	02:05:00	2065.649	2065.943	2064.088	2064.938	5	0	368
