<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	11:15:00	2644.216	2644.474	2640.498	2641.764	1494	0	159
2025.01.02	11:30:00	2641.874	2642.851	2640.255	2642.061	1343	0	159
2025.01.02	11:45:00	2642.075	2642.572	2641.182	2641.974	1281	0	160
2025.01.02	12:00:00	2642.008	2642.853	2640.305	2641.039	1515	0	159
2025.01.02	12:15:00	2641.042	2643.144	2640.532	2642.666	1280	0	160
2025.01.02	12:30:00	2642.659	2645.239	2642.154	2644.219	1771	0	160
2025.01.02	12:45:00	2644.265	2646.449	2642.846	2643.446	1755	0	159
2025.01.02	13:00:00	2643.400	2643.400	2638.401	2638.543	3451	0	159
2025.01.02	13:15:00	2638.567	2641.018	2636.005	2640.889	3001	0	159
2025.01.02	13:30:00	2640.932	2641.020	2636.978	2639.133	3588	0	159
2025.01.02	13:45:00	2639.104	2647.341	2638.137	2643.006	3461	0	159
2025.01.02	14:00:00	2642.964	2646.895	2640.361	2646.856	3403	0	159
2025.01.02	14:15:00	2646.803	2649.069	2646.137	2646.314	3275	0	159
2025.01.02	14:30:00	2646.271	2650.112	2646.155	2649.048	4283	0	159
2025.01.02	14:45:00	2649.006	2651.066	2646.928	2647.518	3551	0	159
2025.01.02	15:00:00	2647.491	2649.684	2645.189	2648.549	3623	0	159
2025.01.02	15:15:00	2648.589	2649.660	2647.550	2648.751	2813	0	159
2025.01.02	15:30:00	2648.711	2653.606	2648.371	2651.957	3220	0	159
2025.01.02	15:45:00	2651.932	2655.843	2651.434	2654.130	2770	0	159
2025.01.02	16:00:00	2654.062	2654.448	2650.034	2653.580	3461	0	159
2025.01.02	16:15:00	2653.547	2657.990	2653.313	2656.686	2784	0	159
2025.01.02	16:30:00	2656.706	2658.498	2654.828	2657.423	2409	0	159
2025.01.02	16:45:00	2657.386	2660.419	2657.384	2659.284	2079	0	160
2025.01.02	17:00:00	2659.325	2660.457	2658.047	2659.015	1952	0	159
2025.01.02	17:15:00	2658.981	2659.964	2655.969	2656.402	1952	0	159
2025.01.02	17:30:00	2656.445	2656.605	2652.970	2653.706	2334	0	160
2025.01.02	17:45:00	2653.796	2656.668	2652.515	2656.471	1822	0	160
2025.01.02	18:00:00	2656.477	2658.756	2655.842	2656.655	2055	0	159
2025.01.02	18:15:00	2656.680	2658.156	2654.892	2654.921	2302	0	159
2025.01.02	18:30:00	2654.966	2656.115	2653.757	2655.817	1771	0	159
2025.01.02	18:45:00	2655.867	2656.129	2654.711	2655.483	1527	0	160
2025.01.02	19:00:00	2655.524	2655.931	2654.279	2654.581	1389	0	159
2025.01.02	19:15:00	2654.563	2656.166	2653.805	2655.509	1610	0	160
2025.01.02	19:30:00	2655.523	2657.161	2654.379	2654.938	1454	0	159
2025.01.02	19:45:00	2654.885	2655.611	2654.339	2654.740	1451	0	159
2025.01.02	20:00:00	2654.775	2657.239	2654.151	2657.004	1314	0	160
2025.01.02	20:15:00	2656.995	2660.436	2656.342	2659.868	1308	0	160
2025.01.02	20:30:00	2659.869	2660.463	2658.807	2659.105	1488	0	159
2025.01.02	20:45:00	2659.148	2660.129	2659.026	2659.621	1751	0	159
2025.01.02	21:00:00	2659.667	2660.233	2658.986	2658.986	770	0	159
2025.01.02	21:15:00	2659.018	2659.370	2657.853	2658.207	782	0	159
